No,Year_of_survey,District,lat,lon,CBSD_Severity,CBSD_Incidence,CMD_Mean_Severity ,CMD Incidence,Adult_Whitefly_Population,Mean_adult_whitefly_per_Plant
1,2008,Apac,1.91071,32.38637,0,0,2.56,100,26,1.7
2,2008,Apac,1.95679,32.43426,0,0,0,0,18,1.2
3,2008,Apac,1.96989,32.47704,0,0,2.73,100,79,5.3
4,2008,Apac,1.98638,32.4831,0,0,3.03,100,25,1.7
5,2008,Apac,1.96574,32.67374,0,0,3.3,100,25,1.7
6,2008,Apac,2.61751,32.70121,0,0,2.73,100,49,3.3
7,2008,Apac,2.05058,32.65109,0,0,3.2,100,68,4.5
8,2008,Apac,2.06451,32.66903,0,0,0,0,18,1.2
9,2008,Apac,2.15372,32.71449,0,0,2.36,100,73,4.9
10,2008,Apac,2.14423,32.68083,0,0,0,0,143,9.5
11,2008,Apac,2.24423,32.68082,0,0,0,0,14,0.9
12,2008,Apac,2.26494,32.68926,0,0,3.88,86.7,79,5.3
13,2008,Apac,2.32725,32.68577,0,0,3.25,93.3,105,7
14,2008,Apac,2.36473,32.69051,0,0,0,0,39,2.6
15,2008,Apac,2.32364,32.6061,0,0,0,0,0,0
16,2008,Apac,2.2654,32.56011,0,0,3.54,86.7,7,0.5
17,2008,Apac,2.22706,32.44763,0,0,2.17,100,13,0.9
18,2008,Apac,2.21812,32.40018,0,0,2.18,100,15,1
19,2008,Apac,2.33324,32.38685,0,0,3.3,90,12,0.8
20,2008,Apac,2.36796,32.38634,0,0,3.75,93.3,8,0.5
21,2008,Arua,3.05397,30.84603,0,0,0,0,15,1
22,2008,Arua,3.05286,30.80778,0,0,2.5,6.7,3,0.2
23,2008,Arua,3.0042,30.0043,0,0,2.95,63.3,4,0.3
24,2008,Arua,2.98478,30.82807,0,0,3.16,63.3,3,0.2
25,2008,Arua,2.87263,30.88894,0,0,3.33,50,8,0.5
26,2008,Arua,2.84686,30.89033,0,0,3.21,46.7,2,0.1
27,2008,Arua,3.06181,31.10128,0,0,3.37,100,22,1.5
28,2008,Arua,3.09163,31.00688,0,0,2.85,86.7,3,0.2
29,2008,Arua,3.07935,31.05794,0,0,0,0,135,9
30,2008,Arua,3.07183,31.07848,0,0,3.15,66.7,4,0.3
31,2008,Arua,3.13351,31.07885,0,0,0,0,11,0.7
32,2008,Arua,3.1262,31.05718,0,0,3.29,56.7,2,0.1
33,2008,Arua,3.09721,30.96395,0,0,0,0,4,0.3
34,2008,Arua,3.16522,31.02144,0,0,3.17,96.7,4,0.3
35,2008,Arua,3.16705,31.03212,0,0,0,0,22,1.5
36,2008,Arua,3.16805,31.03213,0,0,2,10,10,0.7
37,2008,Arua,2.97438,31.97803,0,0,2,10,16,1.1
38,2008,Arua,3.06053,31.12008,0,0,2.9,70,3,0.2
39,2008,Arua,2.98544,31.36544,0,0,3,3.3,91,6.1
40,2008,Arua,2.94389,30.8965,0,0,2.89,63.3,7,0.5
41,2008,Bushenyi,0.22404,30.09586,0,0,2.53,23.3,4,0.3
42,2008,Bushenyi,0.22953,30.09636,0,0,3.05,70,23,1.5
43,2008,Bushenyi,0.33476,30.09601,0,0,3.25,53.3,29,1.9
44,2008,Bushenyi,0.29319,30.10637,0,0,4,3.3,26,1.7
45,2008,Bushenyi,0.20203,30.11073,0,0,3,33.3,28,1.9
